# DOWNLOADS FOR EACH RELEASE:
v1.0.2-kor.efret.shipyard | downloads: 10
v1.0.3-snowfeather.robotics | downloads: 144
v1.0.2-snowfeather.robotics | downloads: 1
v1.1.1-space.fauna | downloads: 1
v1.0-space.fauna | downloads: 1
v1.0.2-bunrodea.missions | downloads: 1
v1.1.2-more.boarding.missions | downloads: 1
v1.0.1-coalition.shopping | downloads: 2
v1.0.2-real.fluff | downloads: 1
v1.0.1-gegno.pirates | downloads: 171
v1.1.2-hai.side.mission.unlocker | downloads: 1
v1.1.1-hai.side.mission.unlocker | downloads: 1
v1.1.1-more.boarding.missions | downloads: 2
v1.1-hai.side.mission.unlocker | downloads: 1
v1.0-hai.side.mission.unlocker | downloads: 1
v1.0.2-more.arfectas | downloads: 187
v1.0.1-more.arfectas | downloads: 1
v1.0.1-snowfeather.robotics | downloads: 2
v1.0.1-real.fluff | downloads: 2
v1.0.1-devil-run.unhidden | downloads: 65
v1.0.1-bunrodea.missions | downloads: 1
v1.1-disable.spaceport.repeatables | downloads: 1
v1.1-captureable.person.ships | downloads: 4
v1.0-unique.fix | downloads: 44
v1.0-too.many.asteroids | downloads: 2
v1.0-snowfeather.robotics | downloads: 4
v1.0-show.reputation | downloads: 141
v1.0-real.fluff | downloads: 4
v1.0-planet.map | downloads: 25
v1.0-pirate.warlords | downloads: 3
v1.0-no.more.mereti.mines | downloads: 1
v1.0-navy.licenses | downloads: 8
v1.0-more.boarding.missions | downloads: 4
v1.0-more.arfectas | downloads: 1
v1.0-kor.efret.shipyard | downloads: 155
v1.0-gegno.pirates | downloads: 1
v1.0-free.worlds.5.years.later | downloads: 117
v1.0-expert.crew.members | downloads: 4
v1.0-disable.person.ships | downloads: 92
v1.0-devil-run.unhidden | downloads: 1
v1.0-coalition.shopping | downloads: 1
v1.0-bunrodea.missions | downloads: 4
v1.0-better.starts | downloads: 4
v1.0-automata.in.human.space | downloads: 61
v1.0-automata.destruction.0percent | downloads: 1
v1.0-additional.command.buttons | downloads: 1
v1.1-galactic.capital.investment | downloads: 28


# NUMBER OF RELEASES: 147
# TOTAL DOWNLOADS: 5881


# TOTAL DOWNLOAD NUMBER FOR EACH PLUGIN:
additional.command.buttons 93
additional.command.buttons.radial 225
automata.destruction.0percent 148
automata.in.human.space 121
better.starts 161
bunrodea.missions 203
captureable.person.ships 145
coalition.shopping 185
control.station 144
devil-run.unhidden 66
disable.person.ships 92
disable.spaceport.repeatables 124
expert.crew.members 191
free.worlds.5.years.later 117
galactic.capital.investment 225
gegno.pirates 202
hai.side.mission.unlocker 152
human.labels 130
jump.gates 156
kestrel.unlocks 108
kor.efret.shipyard 180
landing.images 118
landing.images.android 131
landing.images.highres 100
more.arfectas 189
more.boarding.missions 164
more.person.ships 176
navy.licenses 201
no.more.mereti.mines 118
outfits.weapon.slot 106
paint.your.ships 110
pirate.warlords 3
planet.map 102
quarg.farm 196
real.fluff 93
show.reputation 159
snowfeather.robotics 151
space.fauna 146
too.many.asteroids 189
tribute.republic 98
unique.fix 44
uniques 119
