# DOWNLOADS FOR EACH RELEASE:
v1.0.4-expert.crew.members | downloads: 6
v1.0-more.arfectas | downloads: 1
v1.0-kor.efret.shipyard | downloads: 155
v1.0-gegno.pirates | downloads: 1
v1.0-free.worlds.5.years.later | downloads: 147
v1.0-expert.crew.members | downloads: 4
v1.0-disable.person.ships | downloads: 115
v1.0-devil-run.unhidden | downloads: 1
v1.0-coalition.shopping | downloads: 1
v1.0-bunrodea.missions | downloads: 4
v1.0-better.starts | downloads: 4
v1.0-automata.in.human.space | downloads: 61
v1.0-automata.destruction.0percent | downloads: 1
v1.0-additional.command.buttons | downloads: 1
v1.1-galactic.capital.investment | downloads: 28


# NUMBER OF RELEASES: 158
# TOTAL DOWNLOADS: 7139


# TOTAL DOWNLOAD NUMBER FOR EACH PLUGIN:
additional.command.buttons 93
additional.command.buttons.radial 258
automata.destruction.0percent 177
automata.in.human.space 152
better.starts 199
bunrodea.missions 236
captureable.person.ships 175
coalition.shopping 225
control.station 180
devil-run.unhidden 66
disable.person.ships 115
disable.spaceport.repeatables 165
expert.crew.members 242
free.worlds.5.years.later 147
galactic.capital.investment 274
gegno.pirates 239
hai.side.mission.unlocker 189
human.labels 154
jump.gates 187
kestrel.unlocks 141
kor.efret.shipyard 219
landing.images 160
landing.images.android 157
landing.images.highres 129
more.arfectas 220
more.boarding.missions 199
more.person.ships 211
navy.licenses 240
no.more.mereti.mines 139
outfits.weapon.slot 134
paint.your.ships 144
pirate.warlords 3
planet.map 123
planet.pluto 13
quarg.farm 226
real.fluff 93
show.reputation 192
snowfeather.robotics 187
space.fauna 176
too.many.asteroids 226
tribute.republic 133
unique.fix 44
uniques 157
