# DOWNLOADS FOR EACH RELEASE:
v1.1.6-galactic.capital.investment | downloads: 42
v1.0.1-better.starts | downloads: 107
v1.0.1-automata.destruction.0percent | downloads: 372
v1.0.1-additional.command.buttons | downloads: 1
v1.1.2-captureable.person.ships | downloads: 1
v1.1.1-captureable.person.ships | downloads: 1
v1.1.3-hai.side.mission.unlocker | downloads: 71
v1.1.1-disable.spaceport.repeatables | downloads: 270
v1.0.0-quarg.farm | downloads: 1
v1.0.1-control.station | downloads: 283
v1.0.0-control.station | downloads: 1
v1.0.0-additional.command.buttons.radial | downloads: 52
v1.1.3-more.boarding.missions | downloads: 313
v1.0.3-coalition.shopping | downloads: 97
v1.0.2-coalition.shopping | downloads: 1
v1.0.1-navy.licenses | downloads: 1
v1.1.2-space.fauna | downloads: 270
v1.0.3-snowfeather.robotics | downloads: 149
v1.0.2-snowfeather.robotics | downloads: 1
v1.1.1-space.fauna | downloads: 1
v1.0-space.fauna | downloads: 1
v1.0.2-bunrodea.missions | downloads: 1
v1.1.2-more.boarding.missions | downloads: 1
v1.0.1-coalition.shopping | downloads: 2
v1.0.2-real.fluff | downloads: 1
v1.0.1-gegno.pirates | downloads: 171
v1.1.2-hai.side.mission.unlocker | downloads: 1
v1.1.1-hai.side.mission.unlocker | downloads: 1
v1.1.1-more.boarding.missions | downloads: 2
v1.1-hai.side.mission.unlocker | downloads: 1
v1.0-hai.side.mission.unlocker | downloads: 1
v1.0.2-more.arfectas | downloads: 443
v1.0.1-more.arfectas | downloads: 1
v1.0.1-snowfeather.robotics | downloads: 2
v1.0.1-real.fluff | downloads: 2
v1.0.1-devil-run.unhidden | downloads: 65
v1.0.1-bunrodea.missions | downloads: 1
v1.1-disable.spaceport.repeatables | downloads: 1
v1.1-captureable.person.ships | downloads: 4
v1.0-unique.fix | downloads: 44
v1.0-too.many.asteroids | downloads: 2
v1.0-snowfeather.robotics | downloads: 4
v1.0-show.reputation | downloads: 141
v1.0-real.fluff | downloads: 4
v1.0-planet.map | downloads: 25
v1.0-pirate.warlords | downloads: 3
v1.0-no.more.mereti.mines | downloads: 1
v1.0-navy.licenses | downloads: 8
v1.0-more.boarding.missions | downloads: 4
v1.0-more.arfectas | downloads: 1
v1.0-kor.efret.shipyard | downloads: 155
v1.0-gegno.pirates | downloads: 1
v1.0-free.worlds.5.years.later | downloads: 266
v1.0-expert.crew.members | downloads: 4
v1.0-disable.person.ships | downloads: 178
v1.0-devil-run.unhidden | downloads: 1
v1.0-coalition.shopping | downloads: 1
v1.0-bunrodea.missions | downloads: 4
v1.0-better.starts | downloads: 4
v1.0-automata.in.human.space | downloads: 61
v1.0-automata.destruction.0percent | downloads: 1
v1.0-additional.command.buttons | downloads: 1
v1.1-galactic.capital.investment | downloads: 28


# NUMBER OF RELEASES: 192
# TOTAL DOWNLOADS: 14179


# TOTAL DOWNLOAD NUMBER FOR EACH PLUGIN:
additional.command.buttons 93
additional.command.buttons.radial 598
automata.destruction.0percent 373
automata.in.human.space 315
avgi.licenses 151
better.starts 390
bunrodea.missions 505
captureable.person.ships 373
coalition.shopping 419
control.station 284
devil-run.unhidden 66
disable.person.ships 178
disable.spaceport.repeatables 271
expert.crew.members 499
free.worlds.5.years.later 266
galactic.capital.investment 604
gegno.pirates 469
hai.side.mission.unlocker 342
highrollers.ltd 30
human.labels 274
jump.gates 374
kestrel.unlocks 304
kor.efret.shipyard 464
landing.images 305
landing.images.android 274
landing.images.highres 219
mission.helper 197
more.arfectas 445
more.boarding.missions 446
more.person.ships 333
navy.licenses 491
no.more.mereti.mines 283
outfits.weapon.slot 264
paint.your.ships 312
pirate.warlords 3
planet.map 210
planet.pluto 108
quarg.farm 480
real.fluff 93
show.reputation 358
snowfeather.robotics 336
space.fauna 272
too.many.asteroids 507
tribute.republic 228
unique.fix 44
uniques 329
