# DOWNLOADS FOR EACH RELEASE:
v1.1.6-captureable.person.ships | downloads: 1
v1.0.1-bunrodea.missions | downloads: 1
v1.1-disable.spaceport.repeatables | downloads: 1
v1.1-captureable.person.ships | downloads: 4
v1.0-unique.fix | downloads: 44
v1.0-too.many.asteroids | downloads: 2
v1.0-snowfeather.robotics | downloads: 4
v1.0-show.reputation | downloads: 141
v1.0-real.fluff | downloads: 4
v1.0-planet.map | downloads: 25
v1.0-pirate.warlords | downloads: 3
v1.0-no.more.mereti.mines | downloads: 1
v1.0-navy.licenses | downloads: 8
v1.0-more.boarding.missions | downloads: 4
v1.0-more.arfectas | downloads: 1
v1.0-kor.efret.shipyard | downloads: 155
v1.0-gegno.pirates | downloads: 1
v1.0-free.worlds.5.years.later | downloads: 132
v1.0-expert.crew.members | downloads: 4
v1.0-disable.person.ships | downloads: 103
v1.0-devil-run.unhidden | downloads: 1
v1.0-coalition.shopping | downloads: 1
v1.0-bunrodea.missions | downloads: 4
v1.0-better.starts | downloads: 4
v1.0-automata.in.human.space | downloads: 61
v1.0-automata.destruction.0percent | downloads: 1
v1.0-additional.command.buttons | downloads: 1
v1.1-galactic.capital.investment | downloads: 28


# NUMBER OF RELEASES: 153
# TOTAL DOWNLOADS: 6385


# TOTAL DOWNLOAD NUMBER FOR EACH PLUGIN:
additional.command.buttons 93
additional.command.buttons.radial 239
automata.destruction.0percent 161
automata.in.human.space 136
better.starts 172
bunrodea.missions 216
captureable.person.ships 158
coalition.shopping 198
control.station 161
devil-run.unhidden 66
disable.person.ships 103
disable.spaceport.repeatables 139
expert.crew.members 204
free.worlds.5.years.later 132
galactic.capital.investment 240
gegno.pirates 217
hai.side.mission.unlocker 167
human.labels 143
jump.gates 169
kestrel.unlocks 121
kor.efret.shipyard 195
landing.images 131
landing.images.android 142
landing.images.highres 111
more.arfectas 202
more.boarding.missions 177
more.person.ships 195
navy.licenses 219
no.more.mereti.mines 129
outfits.weapon.slot 119
paint.your.ships 123
pirate.warlords 3
planet.map 113
quarg.farm 207
real.fluff 93
show.reputation 170
snowfeather.robotics 166
space.fauna 159
too.many.asteroids 204
tribute.republic 115
unique.fix 44
uniques 133
