2025-04-23T00:00:00Z|8|4
2025-04-24T00:00:00Z|29|6
2025-04-25T00:00:00Z|51|11
2025-04-26T00:00:00Z|41|9
2025-04-27T00:00:00Z|103|12
2025-04-28T00:00:00Z|78|11
2025-04-29T00:00:00Z|41|9
2025-04-30T00:00:00Z|77|14
2025-05-01T00:00:00Z|34|10
2025-05-02T00:00:00Z|48|16
2025-05-03T00:00:00Z|56|12
2025-05-04T00:00:00Z|30|12
2025-05-05T00:00:00Z|34|14
2025-05-06T00:00:00Z|20|10
2025-05-07T00:00:00Z|24|10
2025-05-08T00:00:00Z|165|16
2025-05-09T00:00:00Z|37|15
2025-05-10T00:00:00Z|17|7
2025-05-11T00:00:00Z|45|21
2025-05-12T00:00:00Z|25|12
2025-05-13T00:00:00Z|15|11
2025-05-14T00:00:00Z|26|15
2025-05-15T00:00:00Z|41|15
2025-05-16T00:00:00Z|27|8
2025-05-17T00:00:00Z|67|14
2025-05-18T00:00:00Z|48|14
2025-05-19T00:00:00Z|69|15
2025-05-20T00:00:00Z|75|11
2025-05-21T00:00:00Z|16|9
2025-05-22T00:00:00Z|32|13
2025-05-23T00:00:00Z|13|7
2025-05-24T00:00:00Z|18|9
2025-05-25T00:00:00Z|18|6
2025-05-26T00:00:00Z|28|17
2025-05-27T00:00:00Z|23|10
2025-05-28T00:00:00Z|11|9
2025-05-29T00:00:00Z|36|7
2025-05-30T00:00:00Z|25|10
2025-05-31T00:00:00Z|14|10
2025-06-01T00:00:00Z|25|11
2025-06-02T00:00:00Z|52|13
2025-06-03T00:00:00Z|63|18
2025-06-04T00:00:00Z|53|9
2025-06-05T00:00:00Z|153|13
2025-06-06T00:00:00Z|50|7
2025-06-07T00:00:00Z|51|20
2025-06-08T00:00:00Z|37|10
2025-06-09T00:00:00Z|21|12
2025-06-10T00:00:00Z|42|16
2025-06-11T00:00:00Z|36|15
2025-06-12T00:00:00Z|14|4
2025-06-13T00:00:00Z|39|14
2025-06-14T00:00:00Z|17|8
2025-06-15T00:00:00Z|49|12
2025-06-16T00:00:00Z|33|11
2025-06-17T00:00:00Z|65|9
2025-06-18T00:00:00Z|46|16
2025-06-19T00:00:00Z|42|8
2025-06-20T00:00:00Z|20|9
2025-06-21T00:00:00Z|57|12
2025-06-22T00:00:00Z|60|11
2025-06-23T00:00:00Z|36|12
2025-06-24T00:00:00Z|40|11
2025-06-25T00:00:00Z|26|5
2025-06-26T00:00:00Z|17|10
2025-06-27T00:00:00Z|37|16
2025-06-28T00:00:00Z|5|4
